epoch,phase,train_loss,val_loss,trainable_params,lr
11,finetune,0.011125,0.019552,1001251,0.0001
12,finetune,0.008523,0.022880,1001251,0.0001
13,finetune,0.007455,0.017011,1001251,0.0001
14,finetune,0.006813,0.015918,1001251,0.0001
15,finetune,0.006463,0.014304,1001251,0.0001
16,finetune,0.006067,0.011686,1001251,0.0001
17,finetune,0.005786,0.013645,1001251,0.0001
18,finetune,0.005642,0.010904,1001251,0.0001
19,finetune,0.005431,0.012440,1001251,0.0001
20,finetune,0.005421,0.009928,1001251,0.0001
21,finetune,0.005127,0.010886,1001251,0.0001
22,finetune,0.004931,0.009076,1001251,0.0001
23,finetune,0.004822,0.009429,1001251,0.0001
24,finetune,0.004688,0.008337,1001251,0.0001
25,finetune,0.004638,0.008292,1001251,0.0001
26,finetune,0.004552,0.007428,1001251,0.0001
27,finetune,0.004457,0.006931,1001251,0.0001
28,finetune,0.004447,0.006209,1001251,0.0001
29,finetune,0.004343,0.008541,1001251,0.0001
30,finetune,0.004252,0.006658,1001251,0.0001
